Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"William Mendenhall Middle School, California",NDA,WILLIAM MENDENHALL MIDDLE SCHOOL,CALIFORNIA,,,,
"Civil Corps of Engineers - GSA, District of Columbia",NDA,CIVIL CORPS OF ENGINEERS - GSA,DISTRICT OF COLUMBIA,,,,
"Hudsonville Public Schools, Michigan",NDA,HUDSONVILLE PUBLIC SCHOOLS,MICHIGAN,,,,
"National Aeronautics and Space Administration - GSA, District of Columbia",NDA,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION - GSA,DISTRICT OF COLUMBIA,,,,
"Anna Local School District, Ohio",NDA,ANNA LOCAL SCHOOL DISTRICT,OHIO,,,,
"Franklin County School District, Florida",NDA,FRANKLIN COUNTY SCHOOL DISTRICT,FLORIDA,,,,
"West Cabarrus High School, North Carolina",NDA,WEST CABARRUS HIGH SCHOOL,NORTH CAROLINA,,,,
"Ottoville Local School District, Ohio",NDA,OTTOVILLE LOCAL SCHOOL DISTRICT,OHIO,,,,
"Otis Orchards School, Washington",NDA,OTIS ORCHARDS SCHOOL,WASHINGTON,,,,
"Winecoff Elementary, North Carolina",NDA,WINECOFF ELEMENTARY,NORTH CAROLINA,,,,
"Lebanon R-3 Schools, Missouri",NDA,LEBANON R-3 SCHOOLS,MISSOURI,,,,
"Snowline Joint Unified School District, California",NDA,SNOWLINE JOINT UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Southern Tioga School District, Pennsylvania",NDA,SOUTHERN TIOGA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Bloomington Public Schools District No. 87, Illinois",NDA,BLOOMINGTON PUBLIC SCHOOLS DISTRICT NO. 87,ILLINOIS,,,,
"Ware Public Schools, Massachusetts",NDA,WARE PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Junction Avenue K - 8 School, California",NDA,JUNCTION AVENUE K - 8 SCHOOL,CALIFORNIA,,,,
"Manteca Unified School District, California",NDA,MANTECA UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Pennsylvania State System of Higher Education (PASSHE), Pennsylvania",NDA,PENNSYLVANIA STATE SYSTEM OF HIGHER EDUCATION (PASSHE),PENNSYLVANIA,,,,
"Alvin Independent School District, Texas",NDA,ALVIN INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Jersey Shore Area School District, Pennsylvania",NDA,JERSEY SHORE AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Rose Tree Media School District, Pennsylvania",NDA,ROSE TREE MEDIA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Yazoo County Middle School, Mississippi",NDA,YAZOO COUNTY MIDDLE SCHOOL,MISSISSIPPI,,,,
"Perry Community School District, Iowa",NDA,PERRY COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Wahitis Elementary School, Washington",NDA,WAHITIS ELEMENTARY SCHOOL,WASHINGTON,,,,
"Emmetsburg Community School District, Iowa",NDA,EMMETSBURG COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Redlands Unified School District, California",NDA,REDLANDS UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Chardon Local School District, Ohio",NDA,CHARDON LOCAL SCHOOL DISTRICT,OHIO,,,,
"Monroe City Schools, Louisiana",NDA,MONROE CITY SCHOOLS,LOUISIANA,,,,
"Fleetwood Area School District, Pennsylvania",NDA,FLEETWOOD AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"New York City School District #10, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #10,NEW YORK,,,,
"Rockingham County Public Schools (county maintained records), Virginia",NDA,ROCKINGHAM COUNTY PUBLIC SCHOOLS (COUNTY MAINTAINED RECORDS),VIRGINIA,,,,
"Weston Ranch High School, California",NDA,WESTON RANCH HIGH SCHOOL,CALIFORNIA,,,,
"Hamilton Middle School, Texas",NDA,HAMILTON MIDDLE SCHOOL,TEXAS,,,,
"City of Lynn Haven, Florida",NDA,CITY OF LYNN HAVEN,FLORIDA,,,,
"Walter C. Young Middle School, Florida",NDA,WALTER C. YOUNG MIDDLE SCHOOL,FLORIDA,,,,
"Texas A&M University-Kingsville, Texas",NDA,TEXAS A&M UNIVERSITY-KINGSVILLE,TEXAS,,,,
"Revere Local Schools, Ohio",NDA,REVERE LOCAL SCHOOLS,OHIO,,,,
"Comal Independent School District, Texas",NDA,COMAL INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Independent U.S. Government Offices - GSA, District of Columbia",NDA,INDEPENDENT U.S. GOVERNMENT OFFICES - GSA,DISTRICT OF COLUMBIA,,,,
"Hazelwood School District, Missouri",NDA,HAZELWOOD SCHOOL DISTRICT,MISSOURI,,,,
"Monroeville Local School District, Ohio",NDA,MONROEVILLE LOCAL SCHOOL DISTRICT,OHIO,,,,
"Palm Beach County Department of Airports, Florida",NDA,PALM BEACH COUNTY DEPARTMENT OF AIRPORTS,FLORIDA,,,,
"City of Columbus, Ohio",NDA,CITY OF COLUMBUS,OHIO,,,,
"Clark County Area Technology Center, Kentucky",NDA,CLARK COUNTY AREA TECHNOLOGY CENTER,KENTUCKY,,,,
"Indianola Community School District, Iowa",NDA,INDIANOLA COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Oakton Community College, Illinois",NDA,OAKTON COMMUNITY COLLEGE,ILLINOIS,,,,
"Metropolitan Water District of Southern California, California",NDA,METROPOLITAN WATER DISTRICT OF SOUTHERN CALIFORNIA,CALIFORNIA,,,,
"Wellston City School District, Ohio",NDA,WELLSTON CITY SCHOOL DISTRICT,OHIO,,,,
"Crestwood Local School District, Ohio",NDA,CRESTWOOD LOCAL SCHOOL DISTRICT,OHIO,,,,
"Hopper Middle School, Texas",NDA,HOPPER MIDDLE SCHOOL,TEXAS,,,,
"Groton-Dunstable Regional School District, Massachusetts",NDA,GROTON-DUNSTABLE REGIONAL SCHOOL DISTRICT,MASSACHUSETTS,,,,
"Tri-City United Public Schools ISD 2905, Minnesota",NDA,TRI-CITY UNITED PUBLIC SCHOOLS ISD 2905,MINNESOTA,,,,
"City of Fond Du Lac, Wisconsin",NDA,CITY OF FOND DU LAC,WISCONSIN,,,,
"Great Falls Public Schools, Montana",NDA,GREAT FALLS PUBLIC SCHOOLS,MONTANA,,,,
"James Rhoads School, Pennsylvania",NDA,JAMES RHOADS SCHOOL,PENNSYLVANIA,,,,
"Cedars International Schools, Texas",NDA,CEDARS INTERNATIONAL SCHOOLS,TEXAS,,,,
"Jenks Public Schools, Oklahoma",NDA,JENKS PUBLIC SCHOOLS,OKLAHOMA,,,,
"Shamokin Area School District, Pennsylvania",NDA,SHAMOKIN AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Ashdown Public School District, Arkansas",NDA,ASHDOWN PUBLIC SCHOOL DISTRICT,ARKANSAS,,,,
"Molalla River School District, Oregon",NDA,MOLALLA RIVER SCHOOL DISTRICT,OREGON,,,,
"Delavan Darien School District, Wisconsin",NDA,DELAVAN DARIEN SCHOOL DISTRICT,WISCONSIN,,,,
"Oceanway School, Florida",NDA,OCEANWAY SCHOOL,FLORIDA,,,,
"Buckeye Central Local School District, Ohio",NDA,BUCKEYE CENTRAL LOCAL SCHOOL DISTRICT,OHIO,,,,
"Endless Mountains Transportation Authority (BeST Transit), Pennsylvania",NDA,ENDLESS MOUNTAINS TRANSPORTATION AUTHORITY (BEST TRANSIT),PENNSYLVANIA,,,,
"Town of Falmouth, Massachusetts",NDA,TOWN OF FALMOUTH,MASSACHUSETTS,,,,
"Whitehouse Independent School District, Texas",NDA,WHITEHOUSE INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Excelsior Springs School District, Missouri",NDA,EXCELSIOR SPRINGS SCHOOL DISTRICT,MISSOURI,,,,
"Pearsall Independent School District, Texas",NDA,PEARSALL INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"University City School District, Missouri",NDA,UNIVERSITY CITY SCHOOL DISTRICT,MISSOURI,,,,
"Benton Area School District, Pennsylvania",NDA,BENTON AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Alisal High School, California",NDA,ALISAL HIGH SCHOOL,CALIFORNIA,,,,
"Fullerton Joint Union High School District, California",NDA,FULLERTON JOINT UNION HIGH SCHOOL DISTRICT,CALIFORNIA,,,,
"Washington School District, Missouri",NDA,WASHINGTON SCHOOL DISTRICT,MISSOURI,,,,
"Vineland City School District, New Jersey",NDA,VINELAND CITY SCHOOL DISTRICT,NEW JERSEY,,,,
"Prairie Hill Community School District No. 133 , Illinois",NDA,PRAIRIE HILL COMMUNITY SCHOOL DISTRICT NO. 133 ,ILLINOIS,,,,
"Shoreline Public Schools, Washington",NDA,SHORELINE PUBLIC SCHOOLS,WASHINGTON,,,,
"Town of Walpole, Massachusetts",NDA,TOWN OF WALPOLE,MASSACHUSETTS,,,,
"Alton Community Unit School District No. 11, Illinois",NDA,ALTON COMMUNITY UNIT SCHOOL DISTRICT NO. 11,ILLINOIS,,,,
"Palo Verde Unified School District, California",NDA,PALO VERDE UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"McLean County Unit District No. 5, Illinois",NDA,MCLEAN COUNTY UNIT DISTRICT NO. 5,ILLINOIS,,,,
"Hall County Schools, Georgia",NDA,HALL COUNTY SCHOOLS,GEORGIA,,,,
"Webster Groves School District, Missouri",NDA,WEBSTER GROVES SCHOOL DISTRICT,MISSOURI,,,,
"Enfield Public School System, Connecticut",NDA,ENFIELD PUBLIC SCHOOL SYSTEM,CONNECTICUT,,,,
"Ione School District #R2, Oregon",NDA,IONE SCHOOL DISTRICT #R2,OREGON,,,,
"Lexington Independent School District, Texas",NDA,LEXINGTON INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Rio School District, California",NDA,RIO SCHOOL DISTRICT,CALIFORNIA,,,,
"Waterloo Schools, Iowa",NDA,WATERLOO SCHOOLS,IOWA,,,,
"Denver Public Schools, Colorado",NDA,DENVER PUBLIC SCHOOLS,COLORADO,,,,
"Circleville City School District, Ohio",NDA,CIRCLEVILLE CITY SCHOOL DISTRICT,OHIO,,,,
"New Bedford Global Learning Charter School, Massachusetts",NDA,NEW BEDFORD GLOBAL LEARNING CHARTER SCHOOL,MASSACHUSETTS,,,,
"University of Texas At El Paso, Texas",NDA,UNIVERSITY OF TEXAS AT EL PASO,TEXAS,,,,
"La Tercera Elementary School, California",NDA,LA TERCERA ELEMENTARY SCHOOL,CALIFORNIA,,,,
"Benton Junior High School, Arkansas",NDA,BENTON JUNIOR HIGH SCHOOL,ARKANSAS,,,,
"San Miguel Elementary, California",NDA,SAN MIGUEL ELEMENTARY,CALIFORNIA,,,,
"St. John the Baptist Parish Schools, Louisiana",NDA,ST. JOHN THE BAPTIST PARISH SCHOOLS,LOUISIANA,,,,
"Hickory Public Schools, North Carolina",NDA,HICKORY PUBLIC SCHOOLS,NORTH CAROLINA,,,,
"Crawford Central School District, Pennsylvania",NDA,CRAWFORD CENTRAL SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Newark Unified School District, California",NDA,NEWARK UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Lafayette Parish School System, Louisiana",NDA,LAFAYETTE PARISH SCHOOL SYSTEM,LOUISIANA,,,,
"Beverly Hills STEM Elementary, North Carolina",NDA,BEVERLY HILLS STEM ELEMENTARY,NORTH CAROLINA,,,,
"Bugg Magnet Elementary School, North Carolina",NDA,BUGG MAGNET ELEMENTARY SCHOOL,NORTH CAROLINA,,,,
"Lytle Independent School District No. 904, Texas",NDA,LYTLE INDEPENDENT SCHOOL DISTRICT NO. 904,TEXAS,,,,
"Porterville Unified School District, California",NDA,PORTERVILLE UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"St.Croix Central School District, Wisconsin",NDA,ST.CROIX CENTRAL SCHOOL DISTRICT,WISCONSIN,,,,
"University of California - Santa Barbara, California",NDA,UNIVERSITY OF CALIFORNIA - SANTA BARBARA,CALIFORNIA,,,,
"Cooperative Educational Service Agency 11, Wisconsin",NDA,COOPERATIVE EDUCATIONAL SERVICE AGENCY 11,WISCONSIN,,,,
"Capitan School District, New Mexico",NDA,CAPITAN SCHOOL DISTRICT,NEW MEXICO,,,,
"Town of Ashland, Massachusetts",NDA,TOWN OF ASHLAND,MASSACHUSETTS,,,,
"Bossier Parish Schools, Louisiana",NDA,BOSSIER PARISH SCHOOLS,LOUISIANA,,,,
"Department of the Treasury - GSA, District of Columbia",NDA,DEPARTMENT OF THE TREASURY - GSA,DISTRICT OF COLUMBIA,,,,
"Mansfield Independent School District, Texas",NDA,MANSFIELD INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Cupertino Union School District, California",NDA,CUPERTINO UNION SCHOOL DISTRICT,CALIFORNIA,,,,
"Sharpstown International School, Texas",NDA,SHARPSTOWN INTERNATIONAL SCHOOL,TEXAS,,,,
"Lee's Summit R-VII School District, Missouri",NDA,LEE'S SUMMIT R-VII SCHOOL DISTRICT,MISSOURI,,,,
"Minot Public School District, North Dakota",NDA,MINOT PUBLIC SCHOOL DISTRICT,NORTH DAKOTA,,,,
"South Texas Independent School District, Texas",NDA,SOUTH TEXAS INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Brookville Local School District, Ohio",NDA,BROOKVILLE LOCAL SCHOOL DISTRICT,OHIO,,,,
"Orchard Middle School Wenatchee, Washington",NDA,ORCHARD MIDDLE SCHOOL WENATCHEE,WASHINGTON,,,,
"Dennis-Yarmouth Regional School District, Massachusetts",NDA,DENNIS-YARMOUTH REGIONAL SCHOOL DISTRICT,MASSACHUSETTS,,,,
"Town of Westerly, Rhode Island",NDA,TOWN OF WESTERLY,RHODE ISLAND,,,,
"Westerly Public Schools, Rhode Island",NDA,WESTERLY PUBLIC SCHOOLS,RHODE ISLAND,,,,
"Findlay City School District, Ohio",NDA,FINDLAY CITY SCHOOL DISTRICT,OHIO,,,,
"Medford School District No. 549C, Oregon",NDA,MEDFORD SCHOOL DISTRICT NO. 549C,OREGON,,,,
"Walker Public Schools, Georgia",NDA,WALKER PUBLIC SCHOOLS,GEORGIA,,,,
"Beaufort County School District, South Carolina",NDA,BEAUFORT COUNTY SCHOOL DISTRICT,SOUTH CAROLINA,,,,
"Belle Plaine Schools, Minnesota",NDA,BELLE PLAINE SCHOOLS,MINNESOTA,,,,
"Big Walnut Local School District, Ohio",NDA,BIG WALNUT LOCAL SCHOOL DISTRICT,OHIO,,,,
"Monroe County Intermediate School District, Michigan",NDA,MONROE COUNTY INTERMEDIATE SCHOOL DISTRICT,MICHIGAN,,,,
"Middletown Township School District, New Jersey",NDA,MIDDLETOWN TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,,,,
"Lincoln Public Schools, Massachusetts",NDA,LINCOLN PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Versailles Exempted Village School District, Ohio",NDA,VERSAILLES EXEMPTED VILLAGE SCHOOL DISTRICT,OHIO,,,,
"Union County School District, Florida",NDA,UNION COUNTY SCHOOL DISTRICT,FLORIDA,,,,
"City of Hartford, Connecticut",NDA,CITY OF HARTFORD,CONNECTICUT,,,,
"Danville Community Consolidated School District No. 118, Illinois",NDA,DANVILLE COMMUNITY CONSOLIDATED SCHOOL DISTRICT NO. 118,ILLINOIS,,,,
"Panorama Community School District, Iowa",NDA,PANORAMA COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Panorama Middle & High School, Iowa",NDA,PANORAMA MIDDLE & HIGH SCHOOL,IOWA,,,,
"Sayre Area School District, Pennsylvania",NDA,SAYRE AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Chambersburg Area School District, Pennsylvania",NDA,CHAMBERSBURG AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"West Branch Area School District, Pennsylvania",NDA,WEST BRANCH AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Tuloso-Midway Independent School District, Texas",NDA,TULOSO-MIDWAY INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Blackstone-Millville Regional School District, Massachusetts",NDA,BLACKSTONE-MILLVILLE REGIONAL SCHOOL DISTRICT,MASSACHUSETTS,,,,
"Rolla School District No. 31, Missouri",NDA,ROLLA SCHOOL DISTRICT NO. 31,MISSOURI,,,,
"Shenango Area School District, Pennsylvania",NDA,SHENANGO AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Needham Public Schools, Massachusetts",NDA,NEEDHAM PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Metropolitan School District of Lawrence Township, Indiana",NDA,METROPOLITAN SCHOOL DISTRICT OF LAWRENCE TOWNSHIP,INDIANA,,,,
"Amherst-Pelham School District, Massachusetts",NDA,AMHERST-PELHAM SCHOOL DISTRICT,MASSACHUSETTS,,,,
"Caddo Mills Independent School District, Texas",NDA,CADDO MILLS INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Layton High School, Utah",NDA,LAYTON HIGH SCHOOL,UTAH,,,,
"Weber Innovation High School, Utah",NDA,WEBER INNOVATION HIGH SCHOOL,UTAH,,,,
"Weber School District, Utah",NDA,WEBER SCHOOL DISTRICT,UTAH,,,,
"Gateway School District, Pennsylvania",NDA,GATEWAY SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Isle of Wight County Public School District, Virginia",NDA,ISLE OF WIGHT COUNTY PUBLIC SCHOOL DISTRICT,VIRGINIA,,,,
"Allentown School District, Pennsylvania",NDA,ALLENTOWN SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Georgia Southern University, Georgia",NDA,GEORGIA SOUTHERN UNIVERSITY,GEORGIA,,,,
"Walnut Valley Unified School District, California",NDA,WALNUT VALLEY UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Grady County Schools, Georgia",NDA,GRADY COUNTY SCHOOLS,GEORGIA,,,,
"Abington School District, Pennsylvania",NDA,ABINGTON SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Marion County Public Schools, Florida",NDA,MARION COUNTY PUBLIC SCHOOLS,FLORIDA,,,,
"Abraham Lincoln High School, Pennsylvania",NDA,ABRAHAM LINCOLN HIGH SCHOOL,PENNSYLVANIA,,,,
"Boulder Preparatory High School, Colorado",NDA,BOULDER PREPARATORY HIGH SCHOOL,COLORADO,,,,
"Science Museum of Virginia, Virginia",NDA,SCIENCE MUSEUM OF VIRGINIA,VIRGINIA,,,,
"Woodford County High School, Kentucky",NDA,WOODFORD COUNTY HIGH SCHOOL,KENTUCKY,,,,
"Burkburnett Independent School District, Texas",NDA,BURKBURNETT INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Carmichaels Area School District, Pennsylvania",NDA,CARMICHAELS AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Clarksville-Montgomery School System, Tennessee",NDA,CLARKSVILLE-MONTGOMERY SCHOOL SYSTEM,TENNESSEE,,,,
"Stockton Unified School District, California",NDA,STOCKTON UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Town of Middletown, Rhode Island",NDA,TOWN OF MIDDLETOWN,RHODE ISLAND,,,,
"Bonham Independent School District, Texas",NDA,BONHAM INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Macomb Community College, Michigan",NDA,MACOMB COMMUNITY COLLEGE,MICHIGAN,,,,
"Rio Rancho Public Schools #94, New Mexico",NDA,RIO RANCHO PUBLIC SCHOOLS #94,NEW MEXICO,,,,
"Newport High School, Washington",NDA,NEWPORT HIGH SCHOOL,WASHINGTON,,,,
"Kings Local School District, Ohio",NDA,KINGS LOCAL SCHOOL DISTRICT,OHIO,,,,
"A.C.G.C. School District, Minnesota",NDA,A.C.G.C. SCHOOL DISTRICT,MINNESOTA,,,,
"Beeville Independent School District, Texas",NDA,BEEVILLE INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Little Cypress-Mauriceville Consolidated Independent School District, Texas",NDA,LITTLE CYPRESS-MAURICEVILLE CONSOLIDATED INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Northwest Local School District (Canal Fulton), Ohio",NDA,NORTHWEST LOCAL SCHOOL DISTRICT (CANAL FULTON),OHIO,,,,
"Oakland Borough School District, New Jersey",NDA,OAKLAND BOROUGH SCHOOL DISTRICT,NEW JERSEY,,,,
"Iberville Parish Schools, Louisiana",NDA,IBERVILLE PARISH SCHOOLS,LOUISIANA,,,,
"Barrington School District, Rhode Island",NDA,BARRINGTON SCHOOL DISTRICT,RHODE ISLAND,,,,
"Danville Community College, Virginia",NDA,DANVILLE COMMUNITY COLLEGE,VIRGINIA,,,,
"James Denman Middle School, California",NDA,JAMES DENMAN MIDDLE SCHOOL,CALIFORNIA,,,,
"Birdville Independent School District, Texas",NDA,BIRDVILLE INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Texas State University, Texas",NDA,TEXAS STATE UNIVERSITY,TEXAS,,,,
"Los Angeles Community College District, California",NDA,LOS ANGELES COMMUNITY COLLEGE DISTRICT,CALIFORNIA,,,,
"Orange County Sheriff's Office, Florida",NDA,ORANGE COUNTY SHERIFF'S OFFICE,FLORIDA,,,,
"Los Angeles Valley College, California",NDA,LOS ANGELES VALLEY COLLEGE,CALIFORNIA,,,,
"Antietam School District, Pennsylvania",NDA,ANTIETAM SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Batesville Community School Corporation, Indiana",NDA,BATESVILLE COMMUNITY SCHOOL CORPORATION,INDIANA,,,,
"Newmarket Elementary School, New Hampshire",NDA,NEWMARKET ELEMENTARY SCHOOL,NEW HAMPSHIRE,,,,
"Kansas City Public Schools, Missouri",NDA,KANSAS CITY PUBLIC SCHOOLS,MISSOURI,,,,
"Riverview School District, Pennsylvania",NDA,RIVERVIEW SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Framingham Public Schools, Massachusetts",NDA,FRAMINGHAM PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Lamar Consolidated Independent School District, Texas",NDA,LAMAR CONSOLIDATED INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Leestown Middle School, Kentucky",NDA,LEESTOWN MIDDLE SCHOOL,KENTUCKY,,,,
"Bedminster Township School District, New Jersey",NDA,BEDMINSTER TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,,,,
"Hinckley-Big Rock CUSD #429, Illinois",NDA,HINCKLEY-BIG ROCK CUSD #429,ILLINOIS,,,,
"Westminster School District, California",NDA,WESTMINSTER SCHOOL DISTRICT,CALIFORNIA,,,,
"Pershing Middle School, Texas",NDA,PERSHING MIDDLE SCHOOL,TEXAS,,,,
"La Puente Valley ROP, California",NDA,LA PUENTE VALLEY ROP,CALIFORNIA,,,,
"Wilson School District, Pennsylvania",NDA,WILSON SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Eberhart Elementary School, Illinois",NDA,EBERHART ELEMENTARY SCHOOL,ILLINOIS,,,,
"Girard School District, Pennsylvania",NDA,GIRARD SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Wanaque Borough School District, New Jersey",NDA,WANAQUE BOROUGH SCHOOL DISTRICT,NEW JERSEY,,,,
"Leominster Public Schools, Massachusetts",NDA,LEOMINSTER PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Dracut Public Schools, Massachusetts",NDA,DRACUT PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Laguna High School, California",NDA,LAGUNA HIGH SCHOOL,CALIFORNIA,,,,
"Streetsboro City School District, Ohio",NDA,STREETSBORO CITY SCHOOL DISTRICT,OHIO,,,,
"Louisiana Tech University, Louisiana",NDA,LOUISIANA TECH UNIVERSITY,LOUISIANA,,,,
"New Hope-Solebury School District, Pennsylvania",NDA,NEW HOPE-SOLEBURY SCHOOL DISTRICT,PENNSYLVANIA,,,,
"North Carolina State University, North Carolina",NDA,NORTH CAROLINA STATE UNIVERSITY,NORTH CAROLINA,,,,
"University of Minnesota, Minnesota",NDA,UNIVERSITY OF MINNESOTA,MINNESOTA,,,,
"Litchfield School District SAU #27, New Hampshire",NDA,LITCHFIELD SCHOOL DISTRICT SAU #27,NEW HAMPSHIRE,,,,
"Acton School Department, Maine",NDA,ACTON SCHOOL DEPARTMENT,MAINE,,,,
"University of Connecticut Health Center, Connecticut",NDA,UNIVERSITY OF CONNECTICUT HEALTH CENTER,CONNECTICUT,,,,
"Georgia Department of Revenue, Georgia",NDA,GEORGIA DEPARTMENT OF REVENUE,GEORGIA,,,,
"Macomb Intermediate School District, Michigan",NDA,MACOMB INTERMEDIATE SCHOOL DISTRICT,MICHIGAN,,,,
"Ohio State University, Ohio",NDA,OHIO STATE UNIVERSITY,OHIO,,,,
"Mountain Gateway Community College, Virginia",NDA,MOUNTAIN GATEWAY COMMUNITY COLLEGE,VIRGINIA,,,,
"Bryan Independent School District, Texas",NDA,BRYAN INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Vinton County Local School District, Ohio",NDA,VINTON COUNTY LOCAL SCHOOL DISTRICT,OHIO,,,,
"Grossmont Union High School District, California",NDA,GROSSMONT UNION HIGH SCHOOL DISTRICT,CALIFORNIA,,,,
"Soquel Creek Water District, California",NDA,SOQUEL CREEK WATER DISTRICT,CALIFORNIA,,,,
"Galena Unit School District 120, Illinois",NDA,GALENA UNIT SCHOOL DISTRICT 120,ILLINOIS,,,,
"Ronan School District No. 30, Montana",NDA,RONAN SCHOOL DISTRICT NO. 30,MONTANA,,,,
"Fort Smith Public Schools, Arkansas",NDA,FORT SMITH PUBLIC SCHOOLS,ARKANSAS,,,,
"Chatham County School District, Georgia",NDA,CHATHAM COUNTY SCHOOL DISTRICT,GEORGIA,,,,
"Forney Independent School District, Texas",NDA,FORNEY INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"School District of Fort Atkinson, Wisconsin",NDA,SCHOOL DISTRICT OF FORT ATKINSON,WISCONSIN,,,,
"City of Somerville, Massachusetts",NDA,CITY OF SOMERVILLE,MASSACHUSETTS,,,,
"Rhode Island Department of Education, Rhode Island",NDA,RHODE ISLAND DEPARTMENT OF EDUCATION,RHODE ISLAND,,,,
"Neosho R-V School District, Missouri",NDA,NEOSHO R-V SCHOOL DISTRICT,MISSOURI,,,,
"City of Melrose, Massachusetts",NDA,CITY OF MELROSE,MASSACHUSETTS,,,,
"Melrose Public Schools, Massachusetts",NDA,MELROSE PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Sonoma County Community College District, California",NDA,SONOMA COUNTY COMMUNITY COLLEGE DISTRICT,CALIFORNIA,,,,
"Central Park Elementary School, Florida",NDA,CENTRAL PARK ELEMENTARY SCHOOL,FLORIDA,,,,
"Holly Area Schools, Michigan",NDA,HOLLY AREA SCHOOLS,MICHIGAN,,,,
"Hackettstown Town School District, New Jersey",NDA,HACKETTSTOWN TOWN SCHOOL DISTRICT,NEW JERSEY,,,,
"Kingdom East Unified Union School District, Vermont",NDA,KINGDOM EAST UNIFIED UNION SCHOOL DISTRICT,VERMONT,,,,
"New York City School District #19, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #19,NEW YORK,,,,
"Glendale Unified School District, California",NDA,GLENDALE UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Department of Arkansas State Police, Arkansas",NDA,DEPARTMENT OF ARKANSAS STATE POLICE,ARKANSAS,,,,
"University of California - San Diego, California",NDA,UNIVERSITY OF CALIFORNIA - SAN DIEGO,CALIFORNIA,,,,
"Riverside School District, Pennsylvania",NDA,RIVERSIDE SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Fremont Unified School District, California",NDA,FREMONT UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Hopewell Area School District, Pennsylvania",NDA,HOPEWELL AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
